RWC.index;part;descrip;Gene;log2FC_qRT;log2FC_genome;log2FC_denovo
1;NST;DR;Drought recovery;0;0;0
1;NST;LEA3;LEA3;0;0;0
1;NST;RUB;RUBISCO;0;0;0
1;NST;SAG;SAG;0;0;0
1;NST;Treh;Trehalose phosphatase;0;0;0
1;NST;W-70;WRKY70;0;0;0
1;NST;WRKY;WRKY;0;0;0
1;ST;DR;Drought recovery;0.84726478;0.349998013;2.069095163
1;ST;LEA3;LEA3;0.420706148;0.715361323;0.428390977
1;ST;RUB;RUBISCO;0.165039677;0.184087701;0.035280138
1;ST;Treh;Trehalose phosphatase;1.247432635;1;1
1;ST;W-70;WRKY70;2.934484376;2.015776143;17.557311
1;ST;WRKY;WRKY;1.904977151;1.247470499;3.575140649
2;NST;DR;Drought recovery;0.078173298;0.115517585;0.180741537
2;NST;LEA3;LEA3;2549.772917;114.497313;4.53E+39
2;NST;RUB;RUBISCO;0.028132377;0.067421458;7.95E-06
2;NST;SAG;SAG;0.161611022;0.009500426;0.000507959
2;NST;Treh;Trehalose phosphatase;0.801557736;6.627146233;2.375119332
2;NST;W-70;WRKY70;0.09579891;0.332938652;0.095722375
2;NST;WRKY;WRKY;0.051061342;0.15774121;0.021823102
2;ST;DR;Drought recovery;1.056347175;0.112281104;0.136691932
2;ST;LEA3;LEA3;13842.9312;159.5316856;5.35E+56
2;ST;RUB;RUBISCO;0.132654979;0.052561606;1.08E-07
2;ST;SAG;SAG;0.484897167;0.057401506;0.001510247
2;ST;Treh;Trehalose phosphatase;121.4584858;16.50874361;2.231478645
2;ST;W-70;WRKY70;0.139250145;0.347241742;0.049104532
3;NST;DR;Drought recovery;0.190623155;0.060220443;0.009080579
3;NST;LEA3;LEA3;3005.188396;145.3065487;9.15E+44
3;NST;RUB;RUBISCO;0.024160519;0.010720418;7.19E-36
3;NST;SAG;SAG;0.261202339;0.028547092;7.31E-06
3;NST;Treh;Trehalose phosphatase;0.532746978;67.13881941;11.99199681
3;NST;W-70;WRKY70;0.176357282;0.206291415;0.00223424
3;NST;WRKY;WRKY;0.431243033;0.015000601;3.03E-24
3;ST;DR;Drought recovery;0.101126308;0.182806864;0.210661707
3;ST;LEA3;LEA3;6777.100668;172.2546706;1.90E+46
3;ST;RUB;RUBISCO;0.004951248;0.006854167;1.25E-58
3;ST;SAG;SAG;0.114124046;0.062474582;0.003705798
3;ST;Treh;Trehalose phosphatase;3.888316193;138.8568317;7.361501205
3;ST;W-70;WRKY70;0.022025848;0.184675723;0.0005574
3;ST;WRKY;WRKY;0.004049636;0.000823378;8.46E-27
4;NST;DR;Drought recovery;0.139385129;0.07664885;0.009578397
4;NST;LEA3;LEA3;2280.171039;186.5721707;2.46E+52
4;NST;RUB;RUBISCO;0.008022456;0.01670377;1.29E-23
4;NST;SAG;SAG;0.066802108;0.008904107;4.92E-06
4;NST;Treh;Trehalose phosphatase;11.13337778;147.0003291;63.6902222
4;NST;W-70;WRKY70;0.117570091;0.077723456;8.29E-07
4;NST;WRKY;WRKY;0.009441682;0.016156127;5.16E-20
5;NST;DR;Drought recovery;0.16673079;0.14104587;0.094863703
5;NST;LEA3;LEA3;1453.779197;185.6913358;1.92E+47
5;NST;RUB;RUBISCO;0.004556871;0.010203922;2.11E-48
5;NST;SAG;SAG;0.027905698;0.000709909;0.007525484
5;NST;Treh;Trehalose phosphatase;12.2776586;214.1008636;132.4220904
5;NST;W-70;WRKY70;0.097623361;0.087873256;1.09E-05
5;NST;WRKY;WRKY;0.007543665;0.000817306;3.51E-43
